208.76.44.9,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:20.867-0700', 'current_time_unix': 1635053960.867, 'is_dst': True, 'dst_savings': 1}"
208.76.44.10,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.006-0700', 'current_time_unix': 1635053961.006, 'is_dst': True, 'dst_savings': 1}"
208.76.44.11,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.125-0700', 'current_time_unix': 1635053961.125, 'is_dst': True, 'dst_savings': 1}"
208.76.44.12,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.235-0700', 'current_time_unix': 1635053961.235, 'is_dst': True, 'dst_savings': 1}"
208.76.44.13,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.345-0700', 'current_time_unix': 1635053961.345, 'is_dst': True, 'dst_savings': 1}"
208.76.44.14,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.450-0700', 'current_time_unix': 1635053961.45, 'is_dst': True, 'dst_savings': 1}"
208.76.44.15,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.560-0700', 'current_time_unix': 1635053961.56, 'is_dst': True, 'dst_savings': 1}"
208.76.44.16,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.678-0700', 'current_time_unix': 1635053961.678, 'is_dst': True, 'dst_savings': 1}"
208.76.44.17,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.799-0700', 'current_time_unix': 1635053961.799, 'is_dst': True, 'dst_savings': 1}"
208.76.44.18,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:21.921-0700', 'current_time_unix': 1635053961.921, 'is_dst': True, 'dst_savings': 1}"
